months_as_customer,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,fraud_reported,loss_ratio,profitability,vehicle_age,incident_year,incident_month,incident_day,policy_bind_year,policy_bind_month,policy_bind_day,Parked Car,Single Vehicle Collision,Vehicle Theft,Rear Collision,Side Collision,Fire,None,Other,Police,Minor Damage,Total Loss,Trivial Damage,250/500,500/1000,age_group
190,2,2000,965.21,0,0,3,3,2,36900,-53700,4,2,10,1,0,2,1,1,6300,630,630,5040,9,35,0,0.543923084095689,5282.52,24,2015,2,2,2007,1,27,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2
157,1,500,1257.83,7000000,1,2,4,3,40700,-41600,2,0,2,4,0,2,2,0,47700,4770,9540,33390,0,33,1,3.1602044791426507,-32606.04,14,2015,2,14,1990,8,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
437,1,2000,1192.04,0,1,0,2,3,66100,-31400,4,4,23,1,1,0,0,0,55800,11160,11160,33480,4,30,0,3.900875809536593,-41495.520000000004,21,2015,1,19,2010,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4
344,0,1000,959.83,0,0,5,11,1,0,-38700,1,3,18,3,0,2,2,1,75400,17400,11600,46400,2,38,1,6.546298129182598,-63882.04,19,2015,2,2,2008,6,27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
239,1,2000,625.08,0,0,3,10,5,44200,-37000,4,5,10,1,0,2,3,1,87890,15980,7990,63920,2,38,1,11.717166869307395,-80389.04,11,2015,1,3,1990,8,18,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2
20,2,1000,1711.72,0,0,3,12,5,0,0,4,4,21,3,0,2,2,0,63250,5750,11500,46000,3,34,1,3.0792614056816148,-42709.36,23,2015,1,13,1999,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
284,2,1000,1168.8,0,0,3,12,2,0,-42400,1,4,11,1,0,0,3,1,35750,6500,3250,26000,8,12,0,2.548910563540954,-21724.4,24,2015,2,28,1991,3,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3
216,1,1000,1384.64,5000000,0,0,12,4,0,0,5,1,16,1,0,2,3,0,66600,16650,11100,38850,7,17,1,4.008262075340883,-49984.32,13,2015,1,9,2014,6,3,0,1,0,1,0,0,0,0,1,0,1,0,0,0,2
436,2,2000,1407.01,5000000,1,6,12,2,47400,-27600,6,5,10,1,0,0,2,0,59900,11980,5990,41930,2,37,1,3.547712288232967,-43015.880000000005,28,2015,1,10,2002,4,30,0,1,0,1,0,0,0,0,1,0,0,0,1,0,4
283,2,500,1195.01,0,0,0,11,3,60700,-54300,6,3,13,3,0,0,2,0,42700,0,6100,36600,8,24,1,2.9776598801125793,-28359.88,14,2015,1,8,2012,10,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
99,1,1000,1058.21,3000000,1,3,2,4,0,0,1,0,17,1,1,1,1,0,41130,4570,4570,31990,4,30,0,3.2389601307868947,-28431.48,26,2015,1,10,2014,7,23,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
22,2,2000,1053.24,0,0,1,9,2,51100,0,0,0,0,4,1,1,0,0,77130,8570,17140,51420,0,23,0,6.102597698530249,-64491.119999999995,30,2015,1,5,2008,3,13,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
264,1,2000,1181.46,10000000,0,3,13,2,0,-67400,2,0,16,4,1,1,2,1,62370,5670,5670,51030,4,27,0,4.399217916814789,-48192.479999999996,24,2015,2,12,2005,3,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
