months_as_customer,age,policy_number,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,fraud_reported,loss_ratio,profitability,vehicle_age,age_group,Parked Car,Single Vehicle Collision,Vehicle Theft,Rear Collision,Side Collision,Fire,Other,Police,Minor Damage,Total Loss,Trivial Damage,250/500,500/1000,incident_year,incident_month,incident_day,policy_bind_year,policy_bind_month,policy_bind_day
125,35,442795,0,500,1054.83,7000000,446788,0,3,12,6,0,0,-51300,1,3,842,17,1,1,2,3,0,88660,8060,16120,64480,8,7,1,7.004288210738539,-76002.04000000001,18,1,0,1,0,0,0,1,0,0,0,1,0,0,1,2015,2,25,1996,7,7
123,28,137675,1,2000,1836.02,0,470559,0,5,13,12,3,38000,-41200,0,5,371,5,1,0,2,1,1,79800,13300,6650,59850,13,28,1,3.621964902343112,-57767.76,14,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2015,1,1,2012,12,3
136,32,686522,2,500,1169.62,0,458143,1,3,11,19,1,0,0,4,0,787,6,1,1,0,0,0,55000,10000,10000,35000,12,9,1,3.9186516418437902,-40964.56,17,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2015,2,4,2000,12,27
203,38,155724,1,500,1394.43,0,606352,1,5,7,16,1,0,0,5,1,458,7,1,0,0,1,1,55440,0,6160,49280,9,26,1,3.3131817301693167,-38706.84,26,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,1,31,1998,2,20
43,38,149467,0,1000,1601.47,0,465764,0,6,5,16,2,64400,0,4,1,207,1,3,1,2,2,0,61650,6850,6850,47950,9,35,0,3.2079901590413806,-42432.36,19,2,0,0,0,0,0,0,1,0,0,1,0,0,1,2015,2,15,2014,3,11
283,41,566720,0,500,1195.01,0,476227,1,0,11,15,3,60700,-54300,6,3,60,13,3,0,0,2,0,42700,0,6100,36600,8,24,1,2.9776598801125793,-28359.88,14,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2015,1,8,2012,10,25
177,38,600845,1,2000,1540.19,0,463842,1,1,0,16,2,0,-74500,5,1,500,20,1,1,2,0,0,73700,7370,7370,58960,3,32,1,3.987603261069522,-55217.72,24,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,2,1,2012,1,5
421,56,728025,2,500,1935.85,4000000,470826,0,5,6,15,3,49500,-81100,1,2,133,7,1,0,2,3,0,92730,16860,8430,67440,8,12,1,3.991786553710257,-69499.8,21,4,0,1,0,1,0,0,0,0,0,0,0,0,0,2015,1,12,1990,2,15
375,50,120485,0,1000,1275.39,0,466283,0,0,11,3,2,0,0,1,5,806,16,1,1,2,3,0,37280,0,0,37280,1,5,1,2.435856221757005,-21975.32,29,3,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,2,12,2007,2,18
352,53,993840,1,500,1793.16,0,619166,0,0,12,8,5,0,0,0,5,938,23,1,1,2,2,0,68750,12500,6250,50000,3,25,0,3.195011413742592,-47232.08,16,3,0,1,0,0,0,1,0,0,1,0,0,1,0,2015,1,15,2013,7,12
179,32,931901,0,1000,1433.42,6000000,608328,1,0,10,0,3,53800,0,0,0,781,4,1,1,1,2,0,54200,5420,10840,37940,9,35,1,3.1509722667931706,-36998.96,11,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2015,1,22,1994,8,7
142,30,491170,2,500,1412.76,0,603260,0,6,1,1,5,66400,-63700,6,5,782,22,1,1,2,3,0,67320,11220,11220,44880,13,20,0,3.9709504799116626,-50366.880000000005,29,1,0,1,0,0,1,0,1,0,1,0,0,0,1,2015,1,10,1998,1,14
478,63,852002,1,1000,1292.3,0,479724,0,2,0,13,3,47600,0,5,3,811,5,1,1,1,3,0,4700,940,470,3290,4,27,1,0.3030772008563543,10807.599999999999,18,4,1,0,0,1,0,0,0,1,1,0,0,1,0,2015,2,21,2009,6,29
297,48,264221,1,1000,1243.68,0,463331,0,5,10,4,5,0,-71400,1,6,919,18,3,0,0,2,0,54960,6870,0,48090,12,11,1,3.6826193232985975,-40035.84,23,3,0,0,0,0,0,0,1,0,0,0,0,0,1,2015,2,20,2014,7,28
325,47,900628,2,1000,1690.27,0,438830,1,0,10,10,1,61500,0,5,6,619,11,1,1,0,3,0,72930,6630,6630,59670,4,30,1,3.595579404473842,-52646.76,19,3,0,1,0,0,1,1,0,0,0,0,0,0,1,2015,1,14,2006,2,5
197,41,500639,0,1000,1324.78,0,478640,1,6,9,1,1,0,-64500,0,4,886,6,1,0,2,2,1,76400,15280,7640,53480,13,20,1,4.805829395572598,-60502.64,28,2,0,1,0,0,0,0,0,1,0,0,0,0,1,2015,1,10,1996,6,27
284,43,961496,1,500,1123.84,0,609898,0,6,9,11,2,48200,0,6,1,950,12,3,0,0,0,1,36960,6720,3360,26880,3,34,0,2.7406036446469253,-23473.920000000002,18,2,0,0,0,0,1,1,0,0,0,1,0,1,0,2015,1,23,1992,1,5
16,32,307469,1,1000,968.46,0,615767,0,4,12,5,1,50800,-66200,6,1,84,0,3,0,0,2,0,59400,6600,13200,39600,4,30,1,5.111207484046837,-47778.479999999996,30,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2015,1,27,2002,7,28
274,45,589094,2,1000,1353.53,0,451467,1,3,12,6,4,54700,-47900,1,1,206,13,1,1,0,0,0,58500,11700,0,46800,0,23,1,3.60169334998116,-42257.64,30,2,0,1,0,0,1,0,0,0,1,0,0,1,0,2015,1,14,2003,5,27
276,47,803294,2,1000,1724.09,0,615712,0,6,2,19,3,0,0,1,0,881,23,3,1,0,0,0,65780,5980,11960,47840,3,34,0,3.1794550555172103,-45090.92,11,3,0,0,0,1,0,0,0,1,1,0,0,0,0,2015,1,12,1993,6,18
119,28,288580,0,2000,1079.92,0,430886,0,2,6,10,0,88800,0,3,5,730,1,1,0,0,1,1,53600,6700,6700,40200,13,20,1,4.136108847568956,-40640.96,18,1,0,1,0,1,0,0,0,0,0,1,0,1,0,2015,2,26,2012,11,22
163,38,413192,2,2000,1453.92,0,607605,1,6,7,19,2,51700,0,1,2,325,13,1,1,2,3,0,79500,15900,7950,55650,0,23,0,4.556646858149004,-62052.96,30,2,0,1,0,0,1,0,0,0,1,0,0,0,1,2015,2,21,1997,10,2
324,46,648509,2,2000,897.89,6000000,618862,0,4,12,2,5,0,-41300,3,2,389,13,1,0,1,0,1,79600,15920,15920,47760,7,36,0,7.387690400086128,-68825.32,14,3,0,1,0,1,0,0,1,0,1,0,0,0,0,2015,1,21,2010,3,6
116,30,996253,2,500,951.46,0,467227,0,3,5,9,1,0,-35500,6,5,30,8,3,0,0,3,0,59670,6630,6630,46410,13,28,1,5.226178714817228,-48252.479999999996,21,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2015,1,31,2001,11,29
250,43,687755,1,2000,1539.06,0,434150,0,5,11,8,2,37800,0,4,2,357,2,1,0,0,3,0,64200,10700,10700,42800,5,14,0,3.4761477785141577,-45731.28,23,2,0,1,0,0,0,1,0,0,1,0,0,0,1,2015,1,20,1990,3,28
249,43,547802,1,1000,1518.46,0,606238,1,4,1,6,3,0,0,4,5,130,16,1,0,0,0,1,53500,5350,5350,42800,10,1,0,2.936088756591108,-35278.479999999996,10,2,0,1,0,0,0,1,0,0,0,0,0,1,0,2015,1,26,2013,9,3
224,39,684193,1,1000,1128.71,0,601397,1,3,9,17,2,0,-47100,5,5,868,21,3,1,2,1,0,61800,12360,6180,43260,11,19,0,4.5627309051926535,-48255.479999999996,18,2,0,0,0,1,0,1,0,0,0,1,0,0,1,2015,2,4,2012,6,20
291,46,832746,0,1000,994.74,0,452701,1,2,0,14,3,0,-55300,4,2,102,8,1,0,2,2,1,5580,620,620,4340,13,28,1,0.46745883346402073,6356.880000000001,20,3,1,0,0,1,0,0,0,1,1,0,0,0,1,2015,1,25,2006,4,13
175,36,155604,0,500,1185.44,0,437580,0,5,3,11,1,44900,-52500,0,3,385,15,3,1,2,1,1,42680,3880,7760,31040,0,31,1,3.0002924371260176,-28454.72,19,2,0,0,0,1,0,0,0,1,0,0,0,0,1,2015,1,30,1992,3,3
225,41,330591,0,2000,1103.58,0,475292,0,2,3,8,4,41200,-36200,1,3,314,20,3,0,2,2,0,70400,6400,12800,51200,12,18,1,5.3160320653388675,-57157.04,14,2,0,0,0,0,1,0,0,1,0,0,0,0,1,2015,1,19,1993,8,5
315,44,206667,1,1000,974.16,6000000,438328,1,5,11,15,2,0,-56800,1,6,739,12,3,0,1,0,1,26730,4860,4860,17010,13,20,0,2.2865853658536586,-15040.08,19,2,0,0,0,0,0,0,1,0,0,1,0,1,0,2015,2,7,1993,5,5
275,41,498875,0,2000,1514.72,0,617970,0,2,13,2,3,35700,0,1,4,721,13,3,1,0,1,0,58300,5830,11660,40810,11,21,0,3.2074134713566425,-40123.36,18,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,2,2,1996,10,26
279,45,598308,2,2000,1333.97,6000000,620819,1,4,7,3,4,61100,-30700,4,0,672,21,3,0,1,0,0,61050,11100,11100,38850,4,30,1,3.8138039086336275,-45042.36,14,2,0,0,0,1,0,0,1,0,0,0,0,1,0,2015,1,12,1992,1,28
362,50,114839,1,500,1198.34,4000000,619735,0,0,11,2,5,53000,-72500,1,1,851,17,3,0,1,1,0,57060,6340,6340,44380,8,12,0,3.9679890515212715,-42679.92,30,3,0,0,0,0,1,1,0,0,0,1,0,1,0,2015,1,7,2006,1,1
241,39,896890,1,2000,1042.26,0,464107,0,3,11,11,0,0,0,6,3,555,21,3,0,1,2,0,19080,4240,2120,12720,10,2,0,1.5255310575096426,-6572.880000000001,30,2,0,0,0,1,0,0,0,0,0,1,0,1,0,2015,1,31,1996,6,4
259,43,871305,1,2000,1537.13,0,471614,1,6,5,11,3,0,-58300,1,3,390,3,3,0,0,2,1,57060,6340,6340,44380,5,16,0,3.0934273613812753,-38614.44,13,2,0,0,0,0,1,0,1,0,0,1,0,0,1,2015,1,2,1992,2,14
168,39,217899,1,1000,1389.59,0,479134,1,5,6,8,3,0,-42600,1,3,529,23,3,1,1,3,0,41580,3780,7560,30240,3,25,1,2.4935412603717646,-24904.920000000002,10,2,0,0,0,1,0,1,0,0,0,0,0,0,1,2015,2,24,1994,6,13
291,46,832746,0,1000,994.74,0,452701,1,2,0,14,3,0,-55300,4,2,102,8,1,0,2,2,1,5580,620,620,4340,13,28,1,0.46745883346402073,6356.880000000001,20,3,1,0,0,1,0,0,0,1,1,0,0,0,1,2015,1,25,2006,4,13
252,39,261905,1,500,1312.22,9000000,609949,0,2,13,6,2,0,-33300,0,5,425,15,3,0,0,3,0,59400,11880,5940,41580,7,17,1,3.7722333145356726,-43653.36,15,2,0,0,0,0,0,0,1,0,1,0,0,0,1,2015,2,21,2004,2,28
38,28,970607,0,1000,1019.44,0,437387,0,5,13,19,1,0,-39700,0,6,974,17,1,0,2,1,0,7200,1440,720,5040,2,37,0,0.5885584242329122,5033.280000000001,21,1,0,0,1,1,0,0,0,1,0,0,1,1,0,2015,2,10,1995,3,28
257,44,109392,0,1000,1280.88,0,433981,0,4,7,1,2,59400,-32200,6,5,480,21,1,0,0,1,0,46980,0,5220,41760,0,33,0,3.056492411467116,-31609.44,23,2,0,1,0,1,0,0,1,0,0,1,0,0,0,2015,2,6,2006,7,12
75,27,831053,2,1000,1202.75,0,602289,0,2,5,2,1,57900,-90100,4,4,993,23,3,0,0,2,1,79560,6630,13260,59670,13,28,0,5.512367491166078,-65127.0,22,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2015,1,21,1992,8,5
350,54,939905,0,500,1495.1,0,609374,0,1,7,1,5,50500,0,4,3,352,15,3,0,0,0,0,93480,15580,7790,70110,3,25,0,5.210353822486791,-75538.8,11,3,0,0,0,0,1,0,0,1,0,1,0,0,1,2015,2,12,2013,10,31
239,39,730819,2,2000,625.08,0,437156,1,3,10,10,5,44200,-37000,4,5,186,10,1,0,2,3,1,87890,15980,7990,63920,2,38,1,11.717166869307395,-80389.04,11,2,0,1,0,0,0,1,0,0,0,0,0,1,0,2015,1,3,1990,8,18
316,46,941807,0,500,1219.94,7000000,431968,1,5,9,13,5,0,-51000,1,0,580,13,1,0,0,1,1,63100,6310,12620,44170,0,33,0,4.310321272630894,-48460.72,25,3,0,1,0,0,1,0,0,0,1,0,0,0,0,2015,2,27,2011,6,25
263,43,458829,2,1000,1294.04,0,602670,1,5,5,12,1,0,0,4,5,53,17,1,1,2,3,1,79320,13220,6610,59490,9,35,0,5.108033754752558,-63791.520000000004,28,2,0,1,0,1,0,1,0,0,1,0,0,0,1,2015,1,8,1996,7,6
31,32,231548,1,2000,1263.48,4000000,442948,1,3,7,10,5,46800,-87300,6,2,618,10,1,0,2,0,0,63600,5300,10600,47700,1,5,1,4.194763668597841,-48438.24,28,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2015,2,7,1999,9,7
199,37,982871,2,500,1262.08,0,474615,0,3,12,18,5,48500,0,0,1,264,4,1,0,0,3,0,60170,10940,10940,38290,9,29,1,3.9729388522650444,-45025.04,14,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,1,8,1997,7,27
289,43,777533,0,1000,1387.51,0,609390,1,0,11,0,1,0,0,1,5,5,19,3,1,1,3,0,68580,7620,7620,53340,7,36,0,4.118889233230751,-51929.880000000005,15,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2015,1,11,2002,12,21
88,25,332892,2,1000,1194.0,0,613583,1,3,5,12,0,0,0,4,4,337,6,1,1,1,2,1,66780,7420,7420,51940,5,13,1,4.660804020100502,-52452.0,12,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2015,2,13,2007,10,25
116,30,996253,2,500,951.46,0,467227,0,3,5,9,1,0,-35500,6,5,30,8,3,0,0,3,0,59670,6630,6630,46410,13,28,1,5.226178714817228,-48252.479999999996,21,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2015,1,31,2001,11,29
232,43,751905,0,500,1483.91,8000000,431531,0,1,6,9,0,0,-33600,1,0,147,17,3,0,0,1,0,70600,7060,14120,49420,13,28,1,3.964750782280147,-52793.08,12,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2015,1,18,2001,5,16
236,39,830878,2,1000,1151.39,4000000,604555,1,5,3,15,5,0,-63900,1,6,196,17,1,1,0,0,0,8700,870,1740,6090,0,31,0,0.6296736987467322,5116.68,22,2,1,0,0,1,0,0,0,1,1,0,0,1,0,2015,1,1,1996,11,3
186,38,536052,0,2000,1218.56,0,477373,1,5,13,18,0,39300,-60300,5,0,407,23,3,1,2,2,0,68760,11460,5730,51570,10,3,1,4.7022715336134455,-54137.28,27,2,0,0,0,0,0,0,0,1,0,1,0,1,0,2015,3,1,2006,4,21
224,42,662088,0,500,1212.75,0,455913,1,1,9,11,3,0,-51400,6,6,589,11,1,0,0,0,1,55200,9200,13800,32200,6,10,0,3.793032364460936,-40647.0,27,2,0,1,0,0,0,1,0,0,1,0,0,0,1,2015,1,27,2005,3,6
